1003,Massachusetts Bay Transportation Authority,MBTA,Boston,MA,us,http://www.mbta.com,"10 Park Plaza, Boston, MA, 2116-3974",4510400,1843572736
1004,Brockton Area Transit Authority,BAT,Brockton,MA,us,http://www.ridebat.com/,"155 Court Street, Brockton, MA, 2302-4608",221475,18395052
1005,Lowell Regional Transit Authority,LRTA,Lowell,MA,us,http://www.lrta.com,"145 Thorndike Street, Lowell, MA, 1852-3308",320301,5593572
1006,Southeastern Regional Transit Authority,SRTA,New Bedford,MA,us,http://www.srtabus.com,"700 Pleasant Street, 1st Floor, New Bedford, MA, 2740-6263",186731,7862885
1007,Berkshire Regional Transit Authority,BRTA,Pittsfield,MA,us,http://www.berkshirerta.com,"One Columbus Avenue, Suite 201, Pittsfield, MA, 1201",127500,4264294
1008,Pioneer Valley Transit Authority,PVTA,Springfield,MA,us,http://www.pvta.com,"2808 Main Street, Springfield, MA, 1107",551543,37086208
1013,Merrimack Valley Regional Transit Authority,MVRTA,Haverhill,MA,us,http://www.mvrta.com,"85 Railroad Avenue, Haverhill, MA, 1835-7295",306339,8954704
1014,Worcester Regional Transit Authority,WRTA,Worcester,MA,us,http://www.therta.com/,"287 Grove Street, Worcester, MA, 1605",524725,9609576
1015,Lewiston-Auburn Transit Committee,LATC,Auburn,ME,us,http://www.purplebus.org,"125 Manley Road, Auburn, ME, 4210",46052,787712
1016,Greater Portland Transit District,Metro,Portland,ME,us,http://www.gpmetrobus.com,"114 Valley Street, Portland, ME, 4102",80391,6199729
1017,Greater Hartford Transit District,GHTD,Hartford,CT,us,http://www.hartfordtransit.org,"One Union Place, Hartford, CT, 6103",1078000,7758422
1040,Southeast Area Transit,SEAT,Preston,CT,us,http://www.seatbus.com,"21 Route 12, Preston, CT, 6365",313301,6492077
1042,Valley Transit District,VTD,Derby,CT,us,http://www.valleytransit.org,"41 Main Street, Derby, CT, 6418",89,515236
1045,"Dattco, Inc.",,New Britain,CT,us,http://www.dattco.com,"583 South Street, New Britain, CT, 6051",73941,
1047,"New Britain Transportation Company, Inc.",,Berlin,CT,us,http://www.nbtrans.com,"257 Woodlawn Road, Berlin, CT, 6037",203562,3975771
1048,Connecticut Transit - Hartford Division,CTTransit,Hartford,CT,us,http://www.cttransit.com,"100 Leibert Road, Hartford, CT, 6141-66",851535,51798635
1049,The Greater New Haven Transit District,GNHTD,Hamden,CT,us,http://www.gnhtd.org,"840 Sherman Avenue, Hamden, CT, 6514",451486,2545480
1050,Greater Bridgeport Transit Authority,GBTA,Bridgeport,CT,us,http://www.gbtabus.com/,"One Cross Street, Bridgeport, CT, 6610",282710,14524475
1051,Housatonic Area Regional Transit,HART,Danbury,CT,us,http://www.hartct.org,"62 Federal Road, Danbury, CT, 6810",154855,5682640
1053,Cape Ann Transportation Authority,CATA,Gloucester,MA,us,http://www.canntran.com/,"3 Pond Road, Gloucester, MA, 1931-780",46000,1312085
1055,Connecticut Transit - New Haven Division,CTTransit,Hartford,CT,us,http://www.cttransit.com,"100 Leibert Road, Hartford, CT, 6141-66",531314,28716520
1056,Connecticut Transit - Stamford Division,CTTransit,Hartford,CT,us,http://www.cttransit.com,"100 Leibert Road, Hartford, CT, 6141-66",281327,11789773
1057,Norwalk Transit District,,Norwalk,CT,us,http://www.norwalktransit.com,"275 Wilson Avenue, Norwalk, CT, 6854-4615",108700,6486789
1060,Town of New Milford - New Milford Senior Center,,New Milford,CT,us,,"40 Main Street, New Milford, CT, 6776",28350,
1061,Montachusett Regional Transit Authority,MART,Fitchburg,MA,us,http://www.mrta.us,"Rear 1427 Water Street, Fitchburg, MA, 1420",193415,6915730
1063,Middletown Transit District,MTD,Middletown,CT,us,http://www.middletownareatransit.org,"340 Main Street, Middletown, CT, 6457",90320,2009272
1064,Greater Attleboro-Taunton Regional Transit Authority,GATRA,Taunton,MA,us,http://www.gatra.org,"10 Oak Street-Second Floor, Taunton, MA, 2780",98175,12320890
1066,Chittenden County Transportation Authority,CCTA,Burlington,VT,us,http://www.cctaride.org,"15 Industrial Parkway, Burlington, VT, 5401",85889,8969650
1069,"The Regional Transportation Program, Inc.",RTP,Portland,ME,us,http://www.rtprides.org/,"127 St. John Street, Portland, ME, 4102-3072",265612,1167402
1086,Cooperative Alliance for Seacoast Transportation,COAST,Dover,NH,us,http://www.coastbus.org,"42 Sumner Drive, Dover, NH, 3820",94734,3105617
1087,Nashua Transit System,NTS,Nashua,NH,us,http://WWW.GONASHUA.COM,"11 Riverside St., Nashua, NH, 3062",80000,2125455
1088,Casco Bay Island Transit District,CBITD,Portland,ME,us,http://www.cascobaylines.com,"P.O. BOX 4656, Portland, ME, 4112-4656",188643,763097
1095,"Northeast Transportation Company, Inc.",,Waterbury,CT,us,,"1717 Thomaston Avenue, Waterbury, CT, 6704",189026,6072967
1096,City of Bangor - BAT Community Connector,BAT,Bangor,ME,us,http://www.bangormaine.gov,"73 Harlow Street, Bangor, ME, 4401",55500,3347456
1099,York County Community Action Corporation,YCCAC,Sanford,ME,us,http://www.yccac.org,"6 Spruce Street, Sanford, ME, 4073-72",35000,
1102,Connecticut Department of Transportation,CDOT,Newington,CT,us,http://www.ct.gov/dot,"2800 Berlin Turnpike, Newington, CT, 6131-7546",375000,12989865
1105,Cape Cod Regional Transit Authority,CCRTA,Hyannis,MA,us,http://www.thebreeze.info,"215 Iyannough Road, Route 28, Hyannis, MA, 2601",2686370,11056780
1107,Milford Transit District,MTD,Milford,CT,us,http://www.milfordtransit.com,"259 Research Drive, Milford, CT, 6460",51000,1776940
1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,,Windsor,CT,us,http://www.rideshare.com,"100 Corporate Drive-Suite 120, Windsor, CT, 6095",3708000,32988129
1110,"2Plus Partners in Transportation, Inc",2Plus,Rocky Hill,CT,us,http://www.2plus.com,"1800 Silas Deane Highway-#305N, Rocky Hill, CT, 6067-97",888890,2725967
1112,South Portland Bus Service,,South Portland,ME,us,http://www.southportland.org,"25 Cottage Road, South Portland, ME, 4116-9422",23300,
1114,Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus,ShuttleBus,Biddeford,ME,us,http://www.shuttlebus-zoom.com/,"City Hall, Biddeford, ME, 4005",55000,
1115,Northern New England Passenger Rail Authority,NNEPRA,Portland,ME,us,http://www.amtrakdowneaster.com,"75 West Commercial Street-Suite 104, Portland, ME, 4101",1431087,34926099
1116,Bonanza,BZ,Providence,RI,us,http://www.bonanzabus.com,"One Bonanza Way, Providence, RI, 2904",5207032,8831757
1117,Plymouth & Brockton Street Railway Company,,Plymouth,MA,us,http://www.p-b.com,"8 Industrial Park Road, Plymouth, MA, 2360",1000000,0
1118,MetroWest Regional Transit Authority,MWRTA,Framingham,MA,us,http://www.mwrta.com,"160 Waverley Street, Framingham, MA, 1701",231198,3423384
2002,Capital District Transportation Authority,CDTA,Albany,NY,us,http://www.cdta.org,"110 Watervliet Avenue, Albany, NY, 12206",794293,48562961
2003,Broome County Department of Public Transportation,Broome County,Vestal,NY,us,http://www.gobroomecounty.com/transit/,"413 Old Mill Road, Vestal, NY, 13850",165000,13445967
2004,Niagara Frontier Transportation Authority,NFT Metro,Buffalo,NY,us,http://www.nfta.com,"181 Ellicott Street, Buffalo, NY, 14203",1182165,91346240
2005,Chemung County Transit System,CCTS,Elmira,NY,us,http://www.chemungcountytransit.com,"1201 Clemens Center Parkway, Elmira, NY, 14901",95195,3237297
2006,City of Long Beach,Long Beach Bus,Long Beach,NY,us,http://www.longbeachny.org/,"One West Chester Street, Long Beach, NY, 11561",35000,920081
2007,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus",MTA Long Island Bus,Garden City,NY,us,http://www.libus.org,"700 Commercial Avenue, Garden City, NY, 11530",1339641,162182343
2008,MTA New York City Transit,NYCT,New York,NY,us,http://www.mta.info,"2 Broadway, New York, NY, 10004",8008278,11914786497
2009,City of Poughkeepsie,,Poughkeepsie,NY,us,http://www.cityofpoughkeepsie.com,", Poughkeepsie, NY, 12602",28844,
2010,Dutchess County Division of Mass Transportation,Loop Bus,Poughkeepsie,NY,us,http://www.dutchessny.gov,"14 Commerce Street, Poughkeepsie, NY, 12603",351997,5597341
2018,"CNY Centro, Inc.",CNY Centro,Syracuse,NY,us,http://www.centro.org,"200 Cortland Ave., Syracuse, NY, 13205-820",424819,35677827
2071,Huntington Area Rapid Transit,HART,Huntington Station,NY,us,http://town.huntington.ny.us,"144 East Second Street, Huntington Station, NY, 11746-1431",203834,1369256
2072,Suffolk County Department of Public Works - Transportation Division,ST,Yaphank,NY,us,http://www.sct-bus.org,"Rudolph M. Kammerer Building-335 Yaphank Avenue, Yaphank, NY, 11980-9744",1505000,47057143
2075,Port Authority Transit Corporation,PATCO,Lindenwold,NJ,us,http://www.ridepatco.org,"Carlton Avenue, Lindenwold, NJ, 8021",743886,93480276
2076,Westchester County Bee-Line System,The Bee-Line System,Mount Vernon,NY,us,http://www.westchestergov.com,"100 East First Street, Mount Vernon, NY, 10550",923459,150783898
2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",MTA-MNCR,New York,NY,us,http://www.mnr.org,"347 Madison Avenue, New York, NY, 10017",6503894,2182704060
2080,New Jersey Transit Corporation,NJ TRANSIT,Newark,NJ,us,http://www.njtransit.com,"One Penn Plaza, East, Newark, NJ, 7105-2246",17799861,3526730409
